speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
68,0,66,68,69.766022,73.436859,71.577911,73.436859,83,24,52,42
67,0,68,67,68.702377,72.237999,70.448013,72.237999,84,28,53,42
65,0,67,65,66.604179,69.932281,68.247948,69.932281,88,24,52,42
61,0,65,61,62.441162,65.426437,63.916374,65.426437,87,24,53,44
54,0,61,54,55.196354,57.669163,56.419212,57.669163,88,28,53,42
48,0,54,48,49.010616,51.096130,50.042511,51.096130,80,24,53,46
47,0,48,47,47.976780,49.991665,48.973862,49.991665,83,24,52,44
50,0,47,50,51.052494,53.224407,52.127140,53.224407,84,28,53,42
53,0,50,53,54.130096,56.463097,55.284290,56.463097,88,24,53,42
55,0,53,55,56.179810,58.615902,57.384930,58.615902,88,24,53,42
57,0,55,57,58.229836,60.769684,59.486206,60.769684,87,28,52,46
60,0,57,60,61.311214,64.020233,62.651085,64.020233,80,24,53,46
62,0,60,62,63.361904,66.176117,64.753723,66.176117,84,24,52,46
64,0,62,64,65.412666,68.332230,66.856514,68.332230,83,28,53,42
64,0,64,64,65.397232,68.283875,66.824966,68.283875,92,24,53,37
65,0,64,65,66.414711,69.337173,67.860214,69.337173,84,24,53,42
66,0,65,66,67.431839,70.389381,68.894745,70.389381,465,140,308,292
66,0,66,66,67.415787,70.339127,68.861946,70.339127,84,24,53,44
65,0,66,65,66.367996,69.190956,67.764778,69.190956,80,24,53,37
63,0,65,63,64.291260,66.953705,65.608978,66.953705,84,29,53,44
59,0,63,59,60.160381,62.550060,61.343586,62.550060,84,24,53,42
50,0,59,50,50.909496,52.778419,51.835537,52.778419,92,24,53,44
40,0,50,40,40.674072,42.056484,41.359505,42.056484,80,28,53,46
29,0,40,29,29.455482,30.388021,29.918119,30.388021,80,24,53,46
20,0,29,20,20.300619,20.915482,20.605757,20.915482,88,24,53,46
20,0,20,20,20.300322,20.914560,20.605152,20.914560,84,28,53,42
25,0,20,25,25.381275,26.161360,25.768366,26.161360,88,24,53,42
31,0,25,31,31.483751,32.474014,31.975050,32.474014,94,24,53,46
37,0,31,37,37.593414,38.808941,38.196342,38.808941,80,28,53,44
41,0,37,41,41.670712,43.045235,42.352398,43.045235,84,24,53,42
45,0,41,45,45.751812,47.293327,46.516186,47.293327,84,24,53,44
49,0,45,49,49.836918,51.553879,50.688129,51.553879,87,28,53,42
51,0,49,51,51.878483,53.681107,52.772099,53.681107,88,24,53,42
53,0,51,53,53.920635,55.810158,54.857262,55.810158,90,24,53,37
53,0,53,53,53.914089,55.789837,54.843945,55.789837,84,28,53,46
52,0,53,52,52.883537,54.695908,53.782089,54.695908,83,24,53,37
49,0,52,49,49.807713,51.463299,50.628738,51.463299,83,24,53,42
48,0,49,48,48.780579,50.380024,49.573853,50.380024,80,28,53,44
48,0,48,48,48.776081,50.366089,49.564709,50.366089,88,24,53,42
49,0,48,49,49.793564,51.419456,50.599979,51.419456,84,24,53,42
52,0,49,52,52.856159,54.610996,53.726414,54.610996,87,28,52,46
56,0,52,56,56.944767,58.882389,57.905476,58.882389,80,24,53,46
59,0,56,59,60.012177,62.088921,61.041718,62.088921,84,24,53,46
61,0,59,61,62.055229,64.220764,63.128712,64.220764,84,28,53,42
63,0,61,63,64.098679,66.353859,65.216522,66.353859,88,24,53,42
64,0,63,64,65.115158,67.404106,66.249748,67.404106,88,24,53,42
65,0,64,65,66.131439,68.453735,67.282570,68.453735,88,28,53,42
65,0,65,65,66.120102,68.418541,67.259506,68.418541,80,24,53,46
65,0,65,65,66.108986,68.384048,67.236893,68.384048,84,24,53,46
64,0,65,64,65.071526,67.268692,66.160988,67.268692,84,28,53,42
