"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_Epochs","n_Units","Energy_Consumed","accuracy","f1_score","recall","rmse_lstm_pred","mae_pred","mae_max","mae_mean","mae_min","rmse_max","rmse_mean","rmse_min"
"peach-sweep-496","1.2","false","1","3","2","200","10","0.000022656276225809256","0.8974358974358975","0.6363636363636364","1","23.5791137322658","14.520215666218547","14.53925506591797","14.52973536606826","14.520215666218547","23.5791137322658","23.482693949108764","23.38627416595173"
"brisk-sweep-715","1.2","false","2","4","3","100","10","0.00001971429157489499","0.935897435897436","0.7368421052631579","1","25.45199503931237","16.3563218176111","16.498383741661172","16.213140002124344","15.784714447100752","25.45199503931237","24.71030745030548","23.833694140657357"
"devoted-sweep-541","1.2","false","2","2","2","100","10","0.000019238479278129843","0.8974358974358975","0.6363636363636364","1","23.446702480764458","14.52932331336876","16.17489980674843","15.352111560058596","14.52932331336876","24.9034253966168","24.175063938690627","23.446702480764458"
"trim-sweep-339","1.2","true","1","4","4","100","100","0.000017755254856896903","0.9102564102564102","0.6666666666666666","1","23.142848856383303","14.000535742980166","16.2433418663124","14.870834614731429","13.298915230134243","25.19089788197316","24.34755916936409","23.142848856383303"
"valiant-sweep-180","1.2","true","1","4","3","200","100","0.000018214596598047462","0.935897435897436","0.7368421052631579","1","23.119962719023064","14.57599035692091","15.955994818092943","14.42902171960393","12.75507998379794","27.611306326776333","24.338078583694298","22.28296670528349"
"good-sweep-385","1.2","true","2","3","4","100","10","0.000019227294126474137","0.9102564102564102","0.6666666666666666","1","24.230864585454313","16.548869790926844","17.713903609317928","16.97952059032886","16.548869790926844","25.22202623412058","24.85954016374476","24.230864585454313"
"hopeful-sweep-928","1.2","false","3","3","4","200","10","0.00001906393603092687","0.9102564102564102","0.6666666666666666","1","24.20265389101294","15.928013606242391","17.84722412870333","16.925908989646217","15.928013606242391","25.636557299946507","24.865956395031223","24.072583838569788"
"sandy-sweep-770","1.2","false","3","4","3","100","50","0.000019168946697803273","0.935897435897436","0.7368421052631579","1","25.33072478813353","15.56396789582488","15.787357381548205","15.411517211128006","14.883226356010931","26.391464930353767","25.600391174845967","25.0789838060506"
"generous-sweep-820","1.2","false","1","3","4","200","10","0.000025312242254637897","0.9102564102564102","0.6666666666666666","1","24.50262259271876","16.43891705829571","18.78343884800502","16.96944000937722","15.614819676783176","26.433778954491245","24.859355526433504","23.462838125318232"
"ethereal-sweep-494","1.2","false","1","3","2","100","50","0.000018382852037092466","0.8974358974358975","0.6363636363636364","1","25.20643691814741","17.37483015485491","20.084452306970373","18.72964123091264","17.37483015485491","26.848149087681684","26.027293002914547","25.20643691814741"
"fancy-sweep-875","1.2","false","2","3","4","200","50","0.000018871973067034185","0.9102564102564102","0.6666666666666666","1","24.53826589121033","14.056509768002991","16.086059627701403","14.849102426345627","14.056509768002991","24.937006787548015","24.468744309946636","23.71631025550897"
"efficient-sweep-596","1.2","false","3","2","2","100","50","0.00001854426061517794","0.8974358974358975","0.6363636363636364","1","27.279822020048673","20.734547784027495","22.16978853569526","21.45216815986138","20.734547784027495","28.225376663520805","27.752599341784737","27.279822020048673"
"serene-sweep-219","1.2","true","2","2","3","100","100","0.00001775242375617116","0.935897435897436","0.7368421052631579","1","23.136221916054872","15.320510687335124","17.817414253690643","16.324087397851983","15.320510687335124","25.748771314463447","24.34905820088876","23.136221916054872"
"faithful-sweep-548","1.2","false","2","3","2","100","50","0.00001979321017147274","0.8974358974358975","0.6363636363636364","1","25.23681184824739","17.304830360947644","18.77804483468192","18.04143759781478","17.304830360947644","26.219009862664727","25.72791085545606","25.23681184824739"
"desert-sweep-165","1.2","true","1","2","3","100","100","0.000017280432677456096","0.935897435897436","0.7368421052631579","1","23.041984784194927","14.078036837332588","17.27552517406909","15.539534815298632","14.078036837332588","25.23837597828059","23.93349765987357","23.041984784194927"
"jumping-sweep-758","1.2","false","3","2","3","100","50","0.00001975196160965311","0.935897435897436","0.7368421052631579","1","24.28243064038854","15.84742491233132","18.060299466853944","17.05599839712696","15.84742491233132","25.87925737157128","25.042616030413757","24.28243064038854"
"astral-sweep-921","1.2","false","3","2","4","100","100","0.00003213075702599351","0.9102564102564102","0.6666666666666666","1","24.6825000112531","16.806234201565037","18.724650702776227","18.088422754064784","16.806234201565037","26.30738373060711","25.654953629740746","24.6825000112531"
"neat-sweep-826","1.2","false","1","4","4","200","10","0.000018603600076827053","0.9102564102564102","0.6666666666666666","1","29.777892100644475","17.590244424795177","17.590244424795177","15.866077753557477","14.80641265853287","29.777892100644475","26.351874490239368","23.075525258081857"
