"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_neighbors","weights","Energy_Consumed","accuracy","f1_score","recall","rmse_knn_pred","rmse_max","rmse_mean","rmse_min","mae_pred","mae_max","mae_mean","mae_min"
"wild-sweep-174","1.2","true","1","3","3","15","distance","1.9105475906674957e-7","0.935897435897436","0.7368421052631579","1","23.440651637712087","25.074977349818113","23.902730260086688","23.192561792729872","14.588570606254622","16.06178260770699","15.387571695581787","14.588570606254622"
"stoic-sweep-437","1.2","true","3","2","4","15","uniform","1.7859382024855425e-7","0.9102564102564102","0.6666666666666666","1","23.957844235705604","25.706828196203126","24.80982949875061","23.957844235705604","13.936080606060608","17.654606450216452","16.07502800865801","13.936080606060608"
"faithful-sweep-274","1.2","true","3","2","3","10","distance","1.9947536390165826e-7","0.935897435897436","0.7368421052631579","1","23.901029083404428","26.58582167356187","24.769369764434188","23.821258536336263","14.153900821114911","17.946191198730634","16.228138654284308","14.153900821114911"
"frosty-sweep-933","1.2","false","3","4","4","10","uniform","1.8246111407898346e-7","0.9102564102564102","0.6666666666666666","1","23.04981500473142","23.84323487041049","23.389181121023004","23.04981500473142","14.14403220779221","14.584724220779226","14.260759610389613","14.117905064935066"
"classic-sweep-710","1.2","false","2","3","3","5","distance","2.833486427260191e-7","0.935897435897436","0.7368421052631579","1","27.31481758905549","27.82814591316807","27.611367433310576","27.31481758905549","18.175897545800744","18.435315421266797","18.333507266944547","18.175897545800744"
"curious-sweep-770","1.2","false","3","4","3","5","distance","2.3573393131578595e-7","0.935897435897436","0.7368421052631579","1","26.69087525549883","26.69087525549883","26.1215131379918","25.283622539751768","16.947592377340882","17.25654924910295","16.544435695924072","15.42916546132839"
"wise-sweep-280","1.2","true","3","3","3","10","distance","2.147129475793008e-7","0.935897435897436","0.7368421052631579","1","25.95243956912992","25.95243956912992","25.16618965378126","24.245582418061755","16.146999136903826","16.146999136903826","15.7306270895104","15.472112899061583"
"dutiful-sweep-440","1.2","true","3","3","4","5","distance","1.8590246291776367e-7","0.9102564102564102","0.6666666666666666","1","26.723435294401373","28.105608359224885","26.61200840332242","25.1340182717165","17.60488222407896","18.63746896273846","17.575571709569154","16.73277727754926"
"rosy-sweep-384","1.2","true","2","2","4","15","distance","1.872959992966925e-7","0.9102564102564102","0.6666666666666666","1","25.39692498670259","26.4810393993346","25.53836707422311","24.6205861552675","14.906242453042893","18.536370365688448","16.730402047982494","14.906242453042893"
"serene-sweep-113","1.2","true","3","2","2","15","uniform","1.5942015218696622e-7","0.8974358974358975","0.6363636363636364","1","23.9106386160492","24.82478953648357","24.367714076266385","23.9106386160492","13.962861298701304","16.584125238095243","15.273493268398273","13.962861298701304"
