"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forecasting","Forgetting","Regularization","Energy_Consumed","accuracy","f1_score","recall","mae_pred","mae_max","mae_mean","mae_min","rmse_pred","rmse_max","rmse_mean","rmse_min"
"avid-sweep-571","1.2","false","3","3","3","0.99","0.1","3.6506352721769674e-8","0.935897435897436","0.7368421052631579","1","7.976070318914006","20.824491051900647","14.552844903284466","7.976070318914006","21.102708176390607","27.58247629742165","24.09999220854345","21.102708176390607"
"bumbling-sweep-298","1.2","false","2","2","4","0.99","1","4.3532397271519594e-8","0.9102564102564102","0.6666666666666666","1","7.34181973281821","19.391267289153635","15.028223364248849","7.34181973281821","20.903368240537155","26.554352998746737","24.045915219356353","20.903368240537155"
"misunderstood-sweep-715","1.2","true","3","4","3","0.95","0.1","3.7642888636987165e-8","0.935897435897436","0.7368421052631579","1","8.153921139871976","21.43138741860666","14.937197740100151","8.153921139871976","21.17294538159884","28.01469819979559","24.332517217116244","21.17294538159884"
"pious-sweep-706","1.2","true","1","4","3","0.95","1","3.4443181668469456e-8","0.935897435897436","0.7368421052631579","1","5.8846144354868235","23.11112580837777","15.055099491565878","5.8846144354868235","15.816765766456935","31.73764120798384","24.969956689223096","15.816765766456935"
"peachy-sweep-286","1.2","false","3","2","4","0.95","1","4.21685541732586e-8","0.9102564102564102","0.6666666666666666","1","7.529424609719585","20.09783587032796","15.453513727925404","7.529424609719585","20.984001197803757","27.16984444494012","24.370560981800395","20.984001197803757"
"sweepy-sweep-349","1.2","true","2","3","2","0.99","0.1","2.3839608751359267e-8","0.8974358974358975","0.6363636363636364","1","7.395993267010567","15.616719188551398","11.506356227780984","7.395993267010567","20.028926540933007","24.268288348111533","22.14860744452227","20.028926540933007"
"cosmic-sweep-745","1.2","true","2","4","3","1","0.1","3.8485563464215984e-8","0.935897435897436","0.7368421052631579","1","7.216708152176162","21.09343504083643","14.51919225141136","7.216708152176162","19.745073272472236","28.033158070035416","23.97756273138305","19.745073272472236"
"devoted-sweep-712","1.2","true","2","4","3","0.95","1","3.8398552676552666e-8","0.935897435897436","0.7368421052631579","1","7.406101327159492","21.668268525016774","14.88177841282232","7.406101327159492","19.80454829899984","28.555264157793133","24.26706842391784","19.80454829899984"
"swept-sweep-538","1.2","false","3","3","2","1","1","2.8119536792448543e-8","0.8974358974358975","0.6363636363636364","1","8.117365585130647","15.21180056418028","11.664583074655464","8.117365585130647","21.310828021876397","23.788984175183575","22.549906098529988","21.310828021876397"
"dazzling-sweep-25","1.2","true","2","2","2","0.99","0.1","2.9869392539391514e-8","0.8974358974358975","0.6363636363636364","1","7.37945752535895","15.54946619155173","11.46446185845534","7.37945752535895","20.02008230571587","24.21500871090351","22.11754550830969","20.02008230571587"
"treasured-sweep-67","1.2","true","3","2","3","0.95","0.1","3.432543245202801e-8","0.935897435897436","0.7368421052631579","1","7.803144840415832","20.76079604059911","14.486926356640804","7.803144840415832","21.08890265057722","27.617920432072964","24.11910613526696","21.08890265057722"
"dauntless-sweep-457","1.2","true","2","3","4","0.99","0.1","4.8371378114148276e-8","0.9102564102564102","0.6666666666666666","1","6.5646642760554785","20.10673561883772","15.165719307148947","6.5646642760554785","19.649310401224728","27.442618232764513","24.1638599399442","19.649310401224728"
"polished-sweep-904","1.2","false","1","4","3","1","1","5.2906870876464996e-8","0.935897435897436","0.7368421052631579","1","7.9656292612058595","20.87872382731266","14.582205846916588","7.9656292612058595","21.070378590824184","27.614517200879646","24.095930099181885","21.070378590824184"
"silver-sweep-727","1.2","true","2","4","3","0.99","0.1","3.849887424520501e-8","0.935897435897436","0.7368421052631579","1","7.242890838904948","21.18117097193739","14.573094834753084","7.242890838904948","19.752472088640996","28.110918441249744","24.019579424909463","19.752472088640996"
"ethereal-sweep-331","1.2","true","2","3","2","0.95","0.1","3.1381702040991716e-8","0.8974358974358975","0.6363636363636364","1","7.517363127859904","15.890423024978864","11.703893076419384","7.517363127859904","20.05304498193172","24.49893980524141","22.275992393586563","20.05304498193172"
"cerulean-sweep-289","1.2","false","1","2","4","0.99","0.1","4.675565408332558e-8","0.9102564102564102","0.6666666666666666","1","7.341528557801169","19.39130717259294","15.027523916703968","7.341528557801169","20.90292454189416","26.55447365263171","24.04547836464384","20.90292454189416"
"hopeful-sweep-652","1.2","true","1","4","2","0.95","1","3.80196861295998e-8","0.8974358974358975","0.6363636363636364","1","5.736222002638721","16.2615018661593","10.99886193439901","5.736222002638721","15.859076611318391","26.929871847612684","21.394474229465537","15.859076611318391"
"eternal-sweep-970","1.2","false","3","4","4","1","1","4.798843718415608e-8","0.9102564102564102","0.6666666666666666","1","7.301407991149975","19.424767713456504","15.027984831653786","7.301407991149975","20.867286347413422","26.742817524183575","24.10862417793286","20.867286347413422"
"eager-sweep-697","1.2","true","3","4","2","1","0.1","2.9916492225968094e-8","0.8974358974358975","0.6363636363636364","1","8.120369078889185","15.312209065348211","11.716289072118698","8.120369078889185","21.295399446648368","23.83359780008284","22.5644986233656","21.295399446648368"
"floral-sweep-277","1.2","false","2","2","4","0.95","0.1","4.449384522141978e-8","0.9102564102564102","0.6666666666666666","1","7.529186003326376","20.097861886417455","15.452865242207546","7.529186003326376","20.983607547022046","27.169911033407487","24.370146312393224","20.983607547022046"
"vital-sweep-496","1.2","false","2","3","2","0.95","1","3.043663659077032e-8","0.8974358974358975","0.6363636363636364","1","8.236041210355337","15.515957222497777","11.875999216426557","8.236041210355337","21.385985290031115","23.977948880205066","22.68196708511809","21.385985290031115"
